record_id,sid,nlr_id
1,KA001,101_LG
2,IA002,102_RS
3,KA003,103_AC
4,FA004,104_LB
5,JA005,105_BB
6,JA006,106_KM
7,FA007,107_TM
8,LA008,109_KT
9,JA009,110_HH
10,IA010,111_JH
11,LA011,112_AR
12,KA012,113_JK
13,HA013,115_PS
14,KA014,117_CG
15,IA015,118_IH
16,FA016,119_NH
17,LA017,121_GG
18,JA018,123_MD
19,HA019,124_AT
20,HA020,126_OC
21,HA021,127_AM
22,IA022,129_KA
23,KA023,130_RW
24,GA024,131_MS
25,HA025,132_WP
26,HA026,133_ML
27,HA027,135_RD
28,IA028,137_GR
29,HA029,138_LA
30,HA030,139_NF
31,HA031,140_MB
32,HA032,141_GC
33,IA033,143_CH
34,IA034,144_OL
35,HA035,145_AC
36,KA036,146_TF
37,GA037,151_RD
38,LA038,154_RC
39,IA039,155_SR
40,IA040,156_DF
41,EA041,157_RF
42,FA042,158_HC
43,KA043,159_CM
44,HA044,162_EF
45,IA045,163_LF
46,JA046,164_SF
47,JA047,165_MA
48,IA048,169_KH
49,LA049,170_GM
50,LA050,171_EH
51,HA051,172_TH
52,GA052,174_HS
53,GA053,175_LL
54,IA054,176_SP
55,KA055,177_SO
56,HA056,178_AO
57,KA057,179_GM
58,FA058,181_MM
59,JA059,182_CP
60,HA060,183_CF
61,IA061,184_EP
62,JA062,185_NG
63,HA063,186_KG
64,IA064,187_NB
65,LA065,188_AT
66,HA066,191_DF
67,JA067,192_SB
68,JA068,193_TL
69,HA069,194_ML
70,JA070,195_AW
71,JA071,196_GW
72,HA072,197_BK
73,JA073,198_ZR
74,KA074,199_AM
75,JA075,201_GS
76,IA076,202_DD
77,JA077,203_AM
78,IA078,204_AM
79,GA079,205_AC
80,IA080,206_LM
81,FA081,207_AH
82,IA082,208_LH
83,GA083,210_SB
84,KA084,211_LB
85,JA085,212_JB
86,IA086,213_LK
87,JA087,901_CG
88,NA088,401_JB
89,NA089,402_RB
90,OA090,501_SS
91,OA091,502_HW
92,QA092,503_AH
93,OA093,504_LM
94,QA094,505_KT
95,OA095,506_AE
96,QA096,513_EO
97,RA097,514_LR
98,QA098,516_TT
99,PA099,519_MF
100,PA100,520_AA
101,OA101,521_GP
102,PA102,523_SK
103,OA103,524_AG
104,PA104,525_TI
105,RA105,526_PM
106,OA106,528_DO
107,OA107,529_NG
108,OA108,530_IH
109,NA109,532_AS
110,PA110,533_LG
111,OA111,534_KC
112,TA112,601_CC
113,TA113,602_JK
114,PA114,603_SB
222,OB222,OB222
226,PB226,PB226
228,HB228,150_MG
231,LB231,108_LG
232,FB232,190_PH
234,JB234,160_EK
235,HB235,161_AK
237,HB237,180_ZD
238,RB238,515_AB
242,PB242,512_EG
243,OB243,510_DT
244,PB244,518_ML
245,QB245,522_JH
246,OB246,527_RF
248,KB248,152_TC
249,NB249,NB249
251,OB251,531_RC
255,OB255,509_MK
256,PB256,517_CT
257,SB257,511_RC
260,OB260,508_RC
264,OB264,OB264
266,OB266,507_JP
269,OB269,OB269
273,JB273,167_BV
284,RB284,RB284
